category_code,brand01
electronics.smartphone,samsung
,krups
electronics.video.tv,sony
appliances.environment.vacuum,samsung
appliances.environment.vacuum,samsung
,philips
,filtero
computers.peripherals.scanner,epson
electronics.tablet,apple
electronics.audio.headphone,apple
appliances.kitchen.blender,braun
electronics.smartphone,samsung
,geyzer
appliances.kitchen.microwave,lg
appliances.personal.scales,ava
computers.peripherals.printer,canon
electronics.smartphone,samsung
computers.notebook,hp
electronics.audio.headphone,xiaomi
electronics.smartphone,huawei
electronics.tablet,apple
electronics.smartphone,samsung
,philips
electronics.smartphone,samsung
electronics.audio.headphone,samsung
computers.components.cooler,ship
,gopro
,imetec
computers.network.router,tp-link
computers.peripherals.monitor,samsung
,ava
,xiaomi
appliances.kitchen.kettle,polaris
electronics.smartphone,huawei
computers.network.router,tp-link
appliances.kitchen.mixer,bosch
appliances.environment.air_conditioner,samsung
electronics.audio.headphone,samsung
appliances.kitchen.blender,neo
electronics.clocks,apple
,vitek
electronics.smartphone,samsung
computers.network.router,tp-link
stationery.paper,
appliances.kitchen.mixer,polaris
electronics.audio.headphone,jbl
,jetpik
computers.notebook,hp
electronics.smartphone,huawei
computers.network.router,altel
appliances.personal.scales,polaris
,deluxe
,deluxe
computers.network.router,altel
computers.peripherals.camera,logitech
stationery.cartrige,canon
computers.peripherals.printer,canon
computers.peripherals.mouse,logitech
electronics.smartphone,samsung
electronics.smartphone,samsung
appliances.personal.massager,beurer
,sony
electronics.audio.headphone,apple
electronics.smartphone,huawei
electronics.video.tv,lg
electronics.audio.headphone,apple
electronics.audio.headphone,apple
appliances.kitchen.blender,braun
appliances.personal.massager,beurer
furniture.living_room.chair,dxracer
computers.notebook,apple
computers.peripherals.mouse,delux
stationery.paper,svetocopy
,akvafor
,samsung
appliances.kitchen.mixer,bosch
appliances.kitchen.washer,lg
computers.notebook,trust
computers.peripherals.keyboard,delux
computers.peripherals.camera,logitech
appliances.environment.vacuum,samsung
,barjher
appliances.environment.vacuum,samsung
computers.components.power_supply,cougar
appliances.environment.vacuum,tefal
,neo
,akvafor
stationery.cartrige,europrint
stationery.battery,duracell
electronics.audio.headphone,none
electronics.audio.headphone,onanoff
computers.peripherals.keyboard,rapoo
appliances.kitchen.refrigerators,indesit
appliances.kitchen.blender,polaris
appliances.kitchen.kettle,tefal
appliances.iron,philips
appliances.personal.scales,scarlett
,polaris
,philips
appliances.personal.hair_cutter,rowenta
electronics.smartphone,huawei
construction.tools.screw,samsung
computers.components.power_supply,deepcool
computers.components.cooler,deepcool
electronics.smartphone,samsung
electronics.smartphone,apple
electronics.audio.headphone,samsung
computers.peripherals.keyboard,
appliances.kitchen.kettle,vitek
stationery.cartrige,canon
stationery.cartrige,canon
stationery.cartrige,canon
appliances.environment.fan,polaris
electronics.smartphone,samsung
,rivacase
electronics.smartphone,huawei
,dji
electronics.smartphone,oppo
electronics.audio.headphone,huawei
appliances.kitchen.microwave,ava
,rowenta
appliances.personal.scales,polaris
appliances.personal.scales,ava
appliances.kitchen.coffee_machine,polaris
electronics.smartphone,samsung
electronics.audio.headphone,bloody
electronics.smartphone,oppo
electronics.audio.headphone,hyperx
furniture.living_room.chair,dxracer
computers.notebook,apple
stationery.battery,camelion
electronics.audio.microphone,trust
electronics.audio.headphone,panasonic
appliances.environment.water_heater,ariston
electronics.clocks,apple
electronics.smartphone,samsung
,samsung
electronics.smartphone,apple
appliances.kitchen.mixer,bosch
appliances.environment.vacuum,samsung
appliances.kitchen.refrigerators,beko
appliances.personal.scales,maxwell
appliances.kitchen.toster,philips
electronics.tablet,lenovo
electronics.video.tv,lg
electronics.tablet,apple
construction.tools.screw,ava
electronics.smartphone,huawei
appliances.personal.scales,ava
,vitek
electronics.smartphone,huawei
,ava
,ava
,sbs
,ava
accessories.bag,samsung
appliances.kitchen.hood,jetair
appliances.kitchen.microwave,samsung
appliances.iron,polaris
apparel.trousers,ggg
electronics.smartphone,apple
computers.peripherals.mouse,
apparel.trousers,ggg
electronics.smartphone,samsung
computers.peripherals.mouse,genius
computers.peripherals.mouse,
appliances.kitchen.mixer,polaris
computers.peripherals.mouse,rapoo
medicine.tools.tonometer,philips
electronics.video.tv,lg
computers.peripherals.camera,logitech
appliances.environment.water_heater,thermex
appliances.kitchen.blender,philips
appliances.iron,philips
furniture.kitchen.table,tefal
furniture.living_room.shelving,fissman
appliances.kitchen.blender,polaris
computers.peripherals.mouse,logitech
computers.peripherals.mouse,bloody
,ava
appliances.kitchen.meat_grinder,aksion
electronics.audio.headphone,panasonic
appliances.kitchen.microwave,lg
appliances.kitchen.juicer,neo
appliances.environment.vacuum,lg
appliances.kitchen.oven,hansa
appliances.kitchen.hood,hansa
appliances.kitchen.dishwasher,hansa
appliances.kitchen.blender,polaris
,ava
electronics.audio.microphone,hyperx
computers.peripherals.mouse,zowie
apparel.trousers,ggg
apparel.shirt,ggg
appliances.kitchen.kettle,ava
appliances.environment.water_heater,thermex
furniture.living_room.shelving,berghoff
computers.notebook,asus
appliances.kitchen.blender,vitek
appliances.kitchen.microwave,samsung
appliances.kitchen.meat_grinder,philips
medicine.tools.tonometer,philips
appliances.personal.scales,beurer
electronics.audio.headphone,xiaomi
computers.peripherals.keyboard,rapoo
furniture.kitchen.table,rondell
electronics.audio.microphone,
appliances.kitchen.refrigerators,birjusa
appliances.kitchen.refrigerators,samsung
appliances.environment.water_heater,ariston
computers.network.router,tp-link
appliances.kitchen.refrigerators,indesit
computers.components.hdd,samsung
