title,brand,categories,manufacturer,department
"Kids Swim Fins,Comfortable Silicone Flippers for Swimming and Diving,Size Suitable Beginners Kids Girls Boys Adults",Gugmoy,"[""Sports & Outdoors"",""Sports"",""Water Sports"",""Swimming"",""Training Equipment"",""Training Fins""]",Gugmoy,Sports & Outdoors
"CIYAGPOOU 3 Pcs Gold Necklace Extenders,925 Sterling Silver Necklace Extender for Women, 1"",2"",3"" Gold Durable Strong Extension for Chain Bracelet Anklet Choker Jewelry Making",CIYAGPOOU,"[""Arts, Crafts & Sewing"",""Beading & Jewelry Making"",""Jewelry Findings"",""Jewelry Making Chains""]",CIYAGPOOU,"Arts, Crafts & Sewing"
Morigins Welcome Flower Truck House Flag Spring Old Truck Blue Daisy House Yard Flag 28 x 40 Inch,Morigins,"[""Patio, Lawn & Garden"",""Outdoor Décor"",""Flags""]",FLAG WORLD,"Patio, Lawn & Garden"
Krylon K07020007 10.25-Ounce Easy Tack Repositionable Adhesive Spray,Krylon,"[""Arts, Crafts & Sewing"",""Crafting"",""Craft Supplies"",""Adhesives"",""Adhesive Sheets & Sprays"",""Adhesive Sprays""]",The Sherwin-Williams Company (HI),
"HOMY CASA Dining Chairs Set of 4, Classical Mid-Century Style Kitchen Dining Chairs Black Gold Metal Legs Accent Chairs Comfortable Living Room Side Chairs for Kitchen Lounge Farmhouse, Rustic Brown",HOMY CASA,"[""Home & Kitchen"",""Furniture"",""Dining Room Furniture"",""Chairs""]",HOMY CASA,Unisex Adult
"STAMIO Orange Peel Powder 100 gm for Face Pack, Skin Care, Mask, DIY | Pure Citrus Aurantium | Natural Sun Dried Santra Chilka | Suitable For All Skin Types Men & Women | In Jar",STAMIO,"[""Beauty"",""Skin Care"",""Face"",""Face Masks""]","Marketed by  JSS Enterprises, Ambala cantt, Haryana - 133001",Beauty
"Kaxiida Solar Color Changing Lights Outdoor, Waterproof IP68 Solar Lights Outdoor with 7 Lighting Modes, Multicolor RGB Outdoor Lights for Christmas Garden Yard Landscape Decorations",Kaxiida,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Lighting Accessories"",""Lighting Chains""]",Kaxiida,Tools & Home Improvement
"Neoflam 1qt Saucepan Butter Warmer Milk Boiling|Melting Pot, Ecolon Healthy Ceramic Nonstick Coating PFOA-free, 2 Pour Spouts, Dishwasher Safe, Ivory",Neoflam,"[""Home & Kitchen"",""Kitchen & Dining"",""Cookware"",""Pots & Pans"",""Saucepans""]",Neoflam,Home & Kitchen
"Reinforced Cat Screen Door, 32X82” Heavy Duty Pets Proof Screen Door with Bilateral Zipper, Prevent Dogs Cats Running Out from Home, Bedroom, Living Room, Kitchen Patio Door",MYPIN,"[""Pet Supplies"",""Cats"",""Cat Doors, Steps, Nets & Pens"",""Cat Doors""]",MYPIN,Pet Supplies
"IBENZER Compatible with New MacBook Air 13 inch Case 2022 2021 2020 M1 A2337 A2179 A1932, Plastic Hard Shell Case with Keyboard Cover for Mac Retina Display with Touch ID, Black, MMA-T13BK+1A",IBENZER,"[""Electronics"",""Computers & Accessories"",""Laptop Accessories"",""Bags, Cases & Sleeves"",""Hard Shell Cases""]",IBENZER,Electronics
"SofPull Large High-Capacity Centerpull Paper Towel Dispenser by GP PRO (Georgia-Pacific), Translucent Smoke, 58201, 1 Dispenser, 10.875” W x 10.375” D x 11.5” H",Georgia-Pacific,"[""Industrial & Scientific"",""Janitorial & Sanitation Supplies"",""Restroom Fixtures"",""Commercial Paper Hand Towel Dispensers""]",‏  ‎ Georgia-Pacific,‏  ‎ Janitorial / Maintenance & Lunchroom Supplies
"2-2440-02 Flocculant for Pool, 1-Quart, 2-Pack",SpaChoice,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Cleaning Tools & Chemicals"",""Chemicals & Water Testing Products"",""Pool Clarifiers & Enzymes""]",SpaChoice,"Patio, Lawn & Garden"
The Definitive Vince Guaraldi,Fantasy,"[""CDs & Vinyl"",""Jazz"",""Cool Jazz""]",Fantasy,
